date,habit
2024-12-01,"Bed time routine (self-care & massage)"
2024-12-02,"Slept 7h or more"
2024-12-02,"Morning Self-Care & Cleaning routine"
2024-12-02,"Yoga, Stretching or Core 10m or more"
2024-12-02,"Cold shower 1m or more"
2024-12-02,"Meditation for 5m or more"
2024-12-02,"German for 5m or more"
2024-12-02,"Flashcards for 5m or more"
2024-12-02,"Books for 5m or more"
2024-12-02,"Free Learning or MarketWatch"
2024-12-02,"Screens & Social under 1h"
2024-12-02,"Was I kind (4 agreements)?"
2024-12-02,"Proteins above 150g"
2024-12-03,"Slept 7h or more"
2024-12-03,"Morning Self-Care & Cleaning routine"
2024-12-03,"Workout 15m or more"
2024-12-03,"Cold shower 1m or more"
2024-12-03,"Meditation for 5m or more"
2024-12-03,"German for 5m or more"
2024-12-03,"Flashcards for 5m or more"
2024-12-03,"Books for 5m or more"
2024-12-03,"Free Learning or MarketWatch"
2024-12-03,"Certified training for 15m or more"
2024-12-03,"Screens & Social under 1h"
2024-12-03,"Was I kind (4 agreements)?"
2024-12-03,"Proteins above 150g"
2024-12-04,"Slept 7h or more"
2024-12-04,"Morning Self-Care & Cleaning routine"
2024-12-04,"Yoga, Stretching or Core 10m or more"
2024-12-04,"Workout 15m or more"
2024-12-04,"Cold shower 1m or more"
2024-12-04,"Meditation for 5m or more"
2024-12-04,"German for 5m or more"
2024-12-04,"Flashcards for 5m or more"
2024-12-04,"Books for 5m or more"
2024-12-04,"Breathwork for 5m or more"
2024-12-04,"Free Learning or MarketWatch"
2024-12-04,"Certified training for 15m or more"
2024-12-04,"Screens & Social under 1h"
2024-12-04,"Was I kind (4 agreements)?"
2024-12-04,"No addictive products (alcohol or else)"
2024-12-04,"Proteins above 150g"
2024-12-04,"Bed time routine (self-care & massage)"
2024-12-05,"Slept 7h or more"
2024-12-05,"Morning Self-Care & Cleaning routine"
2024-12-05,"Yoga, Stretching or Core 10m or more"
2024-12-05,"Workout 15m or more"
2024-12-05,"Cold shower 1m or more"
2024-12-05,"Meditation for 5m or more"
2024-12-05,"German for 5m or more"
2024-12-05,"Flashcards for 5m or more"
2024-12-05,"Books for 5m or more"
2024-12-05,"Breathwork for 5m or more"
2024-12-05,"Free Learning or MarketWatch"
2024-12-05,"Certified training for 15m or more"
2024-12-05,"Screens & Social under 1h"
